destination,country,tags,description,rating,popularity,price_level
Castles and Town Walls of King Edward in Gwynedd,United Kingdom of Great Britain and Northern Ireland,Cultural Europe and North America Historic Landmark World Heritage," The castles of Beaumaris and Harlech (largely the work of the greatest military engineer of the time, James of St George) and the fortified complexes of Caernarfon and Conwy are located in the former principality of Gwynedd, in north Wales. These extremely well-preserved monuments are examples of the colonization and defence works carried out throughout the reign of Edward I (1272&ndash;1307) and the military architecture of the time. ",4.8,75,2
Boyana Church,Bulgaria,Cultural Europe and North America Historic Landmark World Heritage," Located on the outskirts of Sofia, Boyana Church consists of three buildings. The eastern church was built in the 10th century, then enlarged at the beginning of the 13th century by Sebastocrator Kaloyan, who ordered a second two storey building to be erected next to it. The frescoes in this second church, painted in 1259, make it one of the most important collections of medieval paintings. The ensemble is completed by a third church, built at the beginning of the 19th century. This site is one of the most complete and perfectly preserved monuments of east European medieval art. ",4.7,78,1
Al Zubarah Archaeological Site,Qatar,Cultural Arab States Historic Landmark World Heritage," The walled coastal town of Al Zubarah in the Persian Gulf flourished as a pearling and trading centre in the late 18th century and early 19th centuries, before it was destroyed in 1811 and abandoned in the early 1900s. Founded by merchants from Kuwait, Al Zubarah had trading links across the Indian Ocean, Arabia and Western Asia. A layer of sand blown from the desert has protected the remains of the site’s palaces, mosques, streets, courtyard houses, and fishermen’s huts; its harbour and double defensive walls, a canal, walls, and cemeteries. Excavation has only taken place over a small part of the site, which offers an outstanding testimony to an urban trading and pearl-diving tradition which sustained the region’s major coastal towns and led to the development of small independent states that flourished outside the control of the Ottoman, European, and Persian empires and eventually led to the emergence of modern day Gulf States. ",4.9,53,3
China Danxia,China,Natural Asia and the Pacific Historic Landmark World Heritage," China Danxia is the name given in China to landscapes developed on continental red terrigenous sedimentary beds influenced by endogenous forces (including uplift) and exogenous forces (including weathering and erosion). The inscribed site comprises six areas found in the sub-tropical zone of south-west China. They are characterized by spectacular red cliffs and a range of erosional landforms, including dramatic natural pillars, towers, ravines, valleys and waterfalls. These rugged landscapes have helped to conserve sub-tropical broad-leaved evergreen forests, and host many species of flora and fauna, about 400 of which are considered rare or threatened. ",4.7,85,1
Banff,Canada,City Trip Nature Landscape Adventure Hiking,"Majestic mountains, crystal-clear lakes, and fresh alpine air create a breathtakingly serene atmosphere, perfect for nature lovers and adventure seekers alike.",4.6,78,5
Arequipa,Peru,City Trip Nature Landscape Culture History Art,Charming colonial architecture and vibrant plazas set against a backdrop of volcanic peaks create a captivating blend of history and natural beauty.,4.4,97,1
Kinabalu Park,Malaysia,Natural Asia and the Pacific Historic Landmark World Heritage," Kinabalu Park, in the State of Sabah on the northern end of the island of Borneo, is dominated by Mount Kinabalu (4,095 m), the highest mountain between the Himalayas and New Guinea. It has a very wide range of habitats, from rich tropical lowland and hill rainforest to tropical mountain forest, sub-alpine forest and scrub on the higher elevations. It has been designated as a Centre of Plant Diversity for Southeast Asia and is exceptionally rich in species with examples of flora from the Himalayas, China, Australia, Malaysia, as well as pan-tropical flora. ",4.6,80,3
Ancient City of Ping Yao,China,Cultural Asia and the Pacific Historic Landmark World Heritage," Ping Yao is an exceptionally well-preserved example of a traditional Han Chinese city, founded in the 14th century. Its urban fabric shows the evolution of architectural styles and town planning in Imperial China over five centuries. Of special interest are the imposing buildings associated with banking, for which Ping Yao was the major centre for the whole of China in the 19th and early 20th centuries. ",4.8,66,2
Ancient City of Nessebar,Bulgaria,Cultural Europe and North America Historic Landmark World Heritage," Situated on a rocky peninsula on the Black Sea, the more than 3,000-year-old site of Nessebar was originally a Thracian settlement (Menebria). At the beginning of the 6th century BC, the city became a Greek colony. The city&rsquo;s remains, which date mostly from the Hellenistic period, include the acropolis, a temple of Apollo, an agora and a wall from the Thracian fortifications. Among other monuments, the Stara Mitropolia Basilica and the fortress date from the Middle Ages, when this was one of the most important Byzantine towns on the west coast of the Black Sea. Wooden houses built in the 19th century are typical of the Black Sea architecture of the period. ",4.5,94,2
Durham Castle and Cathedral,United Kingdom of Great Britain and Northern Ireland,Cultural Europe and North America Historic Landmark World Heritage," Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham. ",4.6,85,3
Historic Walled Town of Cuenca,Spain,Cultural Europe and North America Historic Landmark World Heritage," Built by the Moors in a defensive position at the heart of the Caliphate of Cordoba, Cuenca is an unusually well-preserved medieval fortified city. Conquered by the Castilians in the 12th century, it became a royal town and bishopric endowed with important buildings, such as Spain's first Gothic cathedral, and the famous casas colgadas (hanging houses), suspended from sheer cliffs overlooking the Huécar river. Taking full advantage of its location, the city towers above the magnificent countryside. ",5.0,55,1
<I>Sacri Monti</I> of Piedmont and Lombardy,Italy,Cultural Europe and North America Historic Landmark World Heritage," The nine Sacri Monti (Sacred Mountains) of northern Italy are groups of chapels and other architectural features created in the late 16th and 17th centuries and dedicated to different aspects of the Christian faith. In addition to their symbolic spiritual meaning, they are of great beauty by virtue of the skill with which they have been integrated into the surrounding natural landscape of hills, forests and lakes. They also house much important artistic material in the form of wall paintings and statuary. ",4.8,82,2
Buenos Aires,Argentina,City Trip Culture History Art Nightlife Party,"Lively streets filled with tango rhythms, vibrant markets, and historic architecture create an irresistible blend of culture and energy.",4.2,93,3
City of Luxembourg: its Old Quarters and Fortifications,Luxembourg,Cultural Europe and North America Historic Landmark World Heritage," Because of its strategic position, Luxembourg was, from the 16th century until 1867, when its walls were dismantled, one of Europe's greatest fortified sites. It was repeatedly reinforced as it passed from one great European power to another: the Holy Roman Emperors, the House of Burgundy, the Habsburgs, the French and Spanish kings, and finally the Prussians. Until their partial demolition, the fortifications were a fine example of military architecture spanning several centuries. ",4.9,80,2
Hatra,Iraq,Cultural Arab States Historic Landmark World Heritage," A large fortified city under the influence of the Parthian Empire and capital of the first Arab Kingdom, Hatra withstood invasions by the Romans in A.D. 116 and 198 thanks to its high, thick walls reinforced by towers. The remains of the city, especially the temples where Hellenistic and Roman architecture blend with Eastern decorative features, attest to the greatness of its civilization. ",4.6,60,3
Itsukushima Shinto Shrine,Japan,Cultural Asia and the Pacific Historic Landmark World Heritage," The island of Itsukushima, in the Seto inland sea, has been a holy place of Shintoism since the earliest times. The first shrine buildings here were probably erected in the 6th century. The present shrine dates from the 12th century and the harmoniously arranged buildings reveal great artistic and technical skill. The shrine plays on the contrasts in colour and form between mountains and sea and illustrates the Japanese concept of scenic beauty, which combines nature and human creativity. ",4.6,72,1
Mehmed Paša Sokolović Bridge in Višegrad,Bosnia and Herzegovina,Cultural Europe and North America Historic Landmark World Heritage," The Mehmed Pa&scaron;a Sokolović Bridge of Vi&scaron;egrad across the Drina River in the east of Bosnia and Herzegovina was built at the end of the 16th century by the court architect Mimar Koca Sinan on the orders of Grand Vizier Mehmed Pa&scaron;a Sokolović. Characteristic of the apogee of Ottoman monumental architecture and civil engineering, the bridge has 11 masonry arches with spans of 11 m to 15 m, and an access ramp at right angles with four arches on the left bank of the river. The 179.5 m long bridge is a representative masterpiece of Sinan, one of the greatest architects and engineers of the classical Ottoman period and a contemporary of the Italian Renaissance, with which his work may be compared. The unique elegance of proportion and monumental nobility of the whole site bear witness to the greatness of this style of architecture. ",5.0,61,2
Dublin,Ireland,City Trip Culture History Art Nightlife Party,"Charming cobblestone streets, lively pubs filled with music, and a rich tapestry of history create a welcoming and vibrant atmosphere.",4.3,73,3
Historic Centre of Agadez,Niger,Cultural Africa Historic Landmark World Heritage," Known as the gateway to the desert, Agadez, on the southern edge of the Sahara desert, developed in the 15th&nbsp;and 16th&nbsp;centuries when the Sultanate of A&iuml;r was established&nbsp; and Touareg tribes were sedentarized in the city, respecting the boundaries of old encampments, which gave rise to a street pattern still in place today. The historic centre of the city, an important crossroads of the caravan trade, is divided into 11 quarters with irregular shapes. They contain numerous earthen dwellings and a well-preserved group of palatial and religious buildings including a 27m high&nbsp; minaret made entirely of mud brick, the highest such structure in the world.&nbsp; The site is marked by ancestral cultural, commercial and handicraft traditions still practiced today and presents exceptional and sophisticated examples of earthen architecture. ",4.6,92,2
Ajanta Caves,India,Cultural Asia and the Pacific Historic Landmark World Heritage," The first Buddhist cave monuments at Ajanta date from the 2nd and 1st centuries B.C. During the Gupta period (5th and 6th centuries A.D.), many more richly decorated caves were added to the original group. The paintings and sculptures of Ajanta, considered masterpieces of Buddhist religious art, have had a considerable artistic influence. ",4.5,71,2
Medina of Tétouan (formerly known as Titawin),Morocco,Cultural Arab States Historic Landmark World Heritage," T&eacute;touan was of particular importance in the Islamic period, from the 8th century onwards, since it served as the main point of contact between Morocco and Andalusia. After the Reconquest, the town was rebuilt by Andalusian refugees who had been expelled by the Spanish. This is well illustrated by its art and architecture, which reveal clear Andalusian influence. Although one of the smallest of the Moroccan medinas, T&eacute;touan is unquestionably the most complete and it has been largely untouched by subsequent outside influences. ",4.8,73,3
Archaeological Site of Carthage,Tunisia,Cultural Arab States Historic Landmark World Heritage," Carthage was founded in the 9th century B.C. on the Gulf of Tunis. From the 6th century onwards, it developed into a great trading empire covering much of the Mediterranean and was home to a brilliant civilization. In the course of the long Punic wars, Carthage occupied territories belonging to Rome, which finally destroyed its rival in 146 B.C. A second &ndash; Roman &ndash; Carthage was then established on the ruins of the first. ",4.6,85,2
Sanctuary of Bom Jesus do Congonhas,Brazil,Cultural Latin America and the Caribbean Historic Landmark World Heritage," This sanctuary in Minais Gerais, south of Belo Horizonte was built in the second half of the 18th century. It consists of a church with a magnificent Rococo interior of Italian inspiration; an outdoor stairway decorated with statues of the prophets; and seven chapels illustrating the Stations of the Cross, in which the polychrome sculptures by Aleijadinho are masterpieces of a highly original, moving, expressive form of Baroque art. ",4.5,54,3
Mont-Saint-Michel and its Bay,France,Cultural Europe and North America Historic Landmark World Heritage," Perched on a rocky islet in the midst of vast sandbanks exposed to powerful tides between Normandy and Brittany stand the 'Wonder of the West', a Gothic-style Benedictine abbey dedicated to the archangel St Michael, and the village that grew up in the shadow of its great walls. Built between the 11th and 16th centuries, the abbey is a technical and artistic tour de force, having had to adapt to the problems posed by this unique natural site. ",4.8,89,2
St Mary's Cathedral and St Michael's Church at Hildesheim,Germany,Cultural Europe and North America Historic Landmark World Heritage," St Michael's Church was built between 1010 and 1020 on a symmetrical plan with two apses that was characteristic of Ottonian Romanesque art in Old Saxony. Its interior, in particular the wooden ceiling and painted stucco-work, its famous bronze doors and the Bernward bronze column, are &ndash; together with the treasures of St Mary's Cathedral &ndash; of exceptional interest as examples of the Romanesque churches of the Holy Roman Empire. ",4.9,56,3
Antofagasta,Chile,City Trip Nature Landscape,"A coastal city where the desert meets the sea, offering dramatic landscapes, vibrant sunsets, and a unique blend of tranquility and adventure.",3.8,86,3
Austin,United States,City Trip Culture History Art Nightlife Party,"Live music spills from vibrant bars, food trucks serve up eclectic flavors, and the warm, welcoming vibe makes you feel instantly at home.",3.5,83,3
Murmansk,Russia,City Trip Nature Landscape,"Cold winds sweep across the Arctic landscape, where northern lights dance in the sky and the stark beauty of nature feels otherworldly.",3.8,95,3
Jesuit Missions of the Chiquitos,Bolivia (Plurinational State of),Cultural Latin America and the Caribbean Historic Landmark World Heritage," Between 1696 and 1760, six ensembles of reducciones (settlements of Christianized Indians) inspired by the &lsquo;ideal cities&rsquo; of the 16th-century philosophers were founded by the Jesuits in a style that married Catholic architecture with local traditions. The six that remain &ndash; San Francisco Javier, Concepci&oacute;n, Santa Ana, San Miguel, San Rafael and San Jos&eacute; &ndash; make up a living heritage on the former territory of the Chiquitos. ",5.0,71,3
Birka and Hovgården,Sweden,Cultural Europe and North America Historic Landmark World Heritage," The Birka archaeological site is located on Björkö Island in Lake Mälar and was occupied in the 9th and 10th centuries. Hovgården is situated on the neighbouring island of Adelsö. Together, they make up an archaeological complex which illustrates the elaborate trading networks of Viking-Age Europe and their influence on the subsequent history of Scandinavia. Birka was also important as the site of the first Christian congregation in Sweden, founded in 831 by St Ansgar. ",5.0,93,3
Engelsberg Ironworks,Sweden,Cultural Europe and North America Historic Landmark World Heritage, Sweden's production of superior grades of iron made it a leader in this field in the 17th and 18th centuries. This site is the best-preserved and most complete example of this type of Swedish ironworks. ,5.0,55,3
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",Germany,Cultural Europe and North America Historic Landmark World Heritage," The Upper Harz mining water management system, which lies south of the Rammelsberg mines and the town of Goslar, has been developed over a period of some 800 years to assist in the process of extracting ore for the production of non-ferrous metals. Its construction was first undertaken in the Middle Ages by Cistercian monks, and it was then developed on a vast scale from the end of the 16th century until the 19th century. It is made up of an extremely complex but perfectly coherent system of artificial ponds, small channels, tunnels and underground drains. It enabled the development of water power for use in mining and metallurgical processes. It is a major site for mining innovation in the western world. ",4.7,75,3
Sacred City of Kandy,Sri Lanka,Cultural Asia and the Pacific Historic Landmark World Heritage," This sacred Buddhist site, popularly known as the city of Senkadagalapura, was the last capital of the Sinhala kings whose patronage enabled the Dinahala culture to flourish for more than 2,500 years until the occupation of Sri Lanka by the British in 1815. It is also the site of the Temple of the Tooth Relic (the sacred tooth of the Buddha), which is a famous pilgrimage site. ",4.7,73,2
Levuka Historical Port Town,Fiji,Cultural Asia and the Pacific Historic Landmark World Heritage," The town and its low line of buildings set among coconut and mango trees along the beach front was the first colonial capital of Fiji, ceded to the British in 1874. It developed from the early 19th century as a centre of commercial activity by Americans and Europeans who built warehouses, stores, port facilities, residences, and religious, educational and social institutions around the villages of the South Pacific island&rsquo;s indigenous population. It is a rare example of a late colonial port town that was influenced in its development by the indigenous community which continued to outnumber the European settlers. Thus the town, an outstanding example of late 19th century Pacific port settlements, reflects the integration of local building traditions by a supreme naval power, leading to the emergence of a unique landscape. ",5.0,75,1
"Botanical Garden (Orto Botanico), Padua",Italy,Cultural Europe and North America Historic Landmark World Heritage," The world's first botanical garden was created in Padua in 1545. It still preserves its original layout &ndash; a circular central plot, symbolizing the world, surrounded by a ring of water. Other elements were added later, some architectural (ornamental entrances and balustrades) and some practical (pumping installations and greenhouses). It continues to serve its original purpose as a centre for scientific research. ",4.5,79,1
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",United Kingdom of Great Britain and Northern Ireland,Cultural Europe and North America Historic Landmark World Heritage," Canterbury, in Kent, has been the seat of the spiritual head of the Church of England for nearly five centuries. Canterbury's other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saint's evangelizing role in the Heptarchy from 597; and Christ Church Cathedral, a breathtaking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170. ",4.9,60,1
Brussels,Belgium,City Trip Culture History Art,"Charming cobblestone streets, the scent of fresh waffles, and vibrant squares create an inviting atmosphere perfect for leisurely exploration.",4.9,71,3
"Bauhaus and its Sites in Weimar, Dessau and Bernau",Germany,Cultural Europe and North America Historic Landmark World Heritage," Between 1919 and 1933 the Bauhaus movement revolutionized architectural and aesthetic thinking and practice in the 20th century. The Bauhaus buildings in Weimar, Dessau and Bernau are fundamental representatives of Classical Modernism, directed towards a radical renewal of architecture and design. This property, which was inscribed on the World Heritage List in 1996, originally comprised buildings located in Weimar (Former Art School, the Applied Art School and the Haus Am Horn) and Dessau (Bauhaus Building, the group of seven Masters' Houses). The 2017 extension includes the Houses with Balcony Access in Dessau and the ADGB Trade Union School in Bernau as important contributions to the Bauhaus ideas of austere design, functionalism and social reform. ",4.5,65,3
Mining Area of the Great Copper Mountain in Falun,Sweden,Cultural Europe and North America Historic Landmark World Heritage," The enormous mining excavation known as the Great Pit at Falun is the most striking feature of a landscape that illustrates the activity of copper production in this region since at least the 13th century. The 17th-century planned town of Falun with its many fine historic buildings, together with the industrial and domestic remains of a number of settlements spread over a wide area of the Dalarna region, provide a vivid picture of what was for centuries one of the world's most important mining areas. ",4.8,71,1
Agricultural Landscape of Southern Öland,Sweden,Cultural Europe and North America Historic Landmark World Heritage," The southern part of the island of Öland in the Baltic Sea is dominated by a vast limestone plateau. Human beings have lived here for some five thousand years and adapted their way of life to the physical constraints of the island. As a consequence, the landscape is unique, with abundant evidence of continuous human settlement from prehistoric times to the present day. ",4.8,65,2
Nuwara Eliya,Sri Lanka,City Trip Nature Landscape,"Mist-covered hills and lush tea plantations create a cool, serene atmosphere, perfect for unwinding and soaking in nature's beauty.",4.7,91,1
Historic Centre of Évora,Portugal,Cultural Europe and North America Historic Landmark World Heritage," This museum-city, whose roots go back to Roman times, reached its golden age in the 15th century, when it became the residence of the Portuguese kings. Its unique quality stems from the whitewashed houses decorated with azulejos and wrought-iron balconies dating from the 16th to the 18th century. Its monuments had a profound influence on Portuguese architecture in Brazil. ",4.7,55,1
"Historic Jeddah, the Gate to Makkah",Saudi Arabia,Cultural Arab States Historic Landmark World Heritage," Historic Jeddah is situated on the eastern shore of the Red Sea. From the 7th century AD it was established as a major port for Indian Ocean trade routes, channelling goods to Mecca. It was also the gateway for Muslim pilgrims to Mecca who arrived by sea. These twin roles saw the city develop into a thriving multicultural centre, characterized by a distinctive architectural tradition, including tower houses built in the late 19th century by the city’s mercantile elites, and combining Red Sea coastal coral building traditions with influences and crafts from along the trade routes. ",4.7,93,1
Archaeological Border complex of Hedeby and the Danevirke,Germany,Cultural Europe and North America Historic Landmark World Heritage," The archaeological site of Hedeby consists of the remains of an emporium – or trading town – containing traces of roads, buildings, cemeteries and a harbour dating back to the 1st and early 2nd millennia CE. It is enclosed by part of the Danevirke, a line of fortification crossing the Schleswig isthmus, which separates the Jutland Peninsula from the rest of the European mainland. Because of its unique situation between the Frankish Empire in the South and the Danish Kingdom in the North, Hedeby became a trading hub between continental Europe and Scandinavia and between the North Sea and the Baltic Sea. Because of its rich and well preserved archaeological material, it has become a key site for the interpretation of economic, social and historical developments in Europe during the Viking age. ",4.6,65,2
Fortaleza,Brazil,City Trip Adventure Hiking Beach Sea Tropical Nightlife Party,"Golden beaches with rolling waves, bustling markets, and vibrant nightlife create an energetic blend of relaxation and excitement.",4.7,78,3
Byblos,Lebanon,Cultural Arab States Historic Landmark World Heritage," The ruins of many successive civilizations are found at Byblos, one of the oldest Phoenician cities. Inhabited since Neolithic times, it has been closely linked to the legends and history of the Mediterranean region for thousands of years. Byblos is also directly associated with the history and diffusion of the Phoenician alphabet. ",5.0,76,2
Vilnius,Lithuania,City Trip Culture History Art,"Charming cobblestone streets and baroque architecture blend with a youthful energy, offering a cozy yet vibrant atmosphere perfect for leisurely exploration.",4.3,65,1
Oslo,Norway,City Trip Nature Landscape Culture History Art,"Modern architecture meets stunning natural landscapes, with serene fjords and vibrant city life offering a unique blend of tranquility and excitement.",4.4,75,5
Budj Bim Cultural Landscape,Australia,Cultural Asia and the Pacific Historic Landmark World Heritage,"Located within the Country of the Gunditjmara, an Aboriginal nation in the southwest of Australia, the property includes the Budj Bim Volcano and Tae Rak (Lake Condah), as well as the Kurtonitj component, characterized by wetland swamps, and Tyrendarra in the south, an area of rocky ridges and large marshes. The Budj Bim lava flows, which connect these three components, have enabled the Gunditjmara to develop one of the largest and oldest aquaculture networks in the world. Composed of channels, dams and weirs, they are used to contain floodwaters and create basins to trap, store and harvest the kooyang eel (Anguilla australis), which has provided the population with an economic and social base for six millennia.",4.8,67,2
Kuala Lumpur,Malaysia,City Trip Culture History Art Nightlife Party,"Bustling streets filled with diverse aromas and vibrant markets create a lively atmosphere, blending modern skyscrapers with rich cultural heritage.",4.9,70,3
Struve Geodetic Arc,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",Cultural Europe and North America Historic Landmark World Heritage," The Struve Arc is a chain of survey triangulations stretching from Hammerfest in Norway to the Black Sea, through 10 countries and over 2,820 km. These are points of a survey, carried out between 1816 and 1855 by the astronomer Friedrich Georg Wilhelm Struve, which represented the first accurate measuring of a long segment of a meridian. This helped to establish the exact size and shape of the planet and marked an important step in the development of earth sciences and topographic mapping. It is an extraordinary example of scientific collaboration among scientists from different countries, and of collaboration between monarchs for a scientific cause. The original arc consisted of 258 main triangles with 265 main station points. The listed site includes 34 of the original station points, with different markings, i.e. a drilled hole in rock, iron cross, cairns, or built obelisks. ",4.7,78,3
Vilnius Historic Centre,Lithuania,Cultural Europe and North America Historic Landmark World Heritage," Political centre of the Grand Duchy of Lithuania from the 13th to the end of the 18th century, Vilnius has had a profound influence on the cultural and architectural development of much of eastern Europe. Despite invasions and partial destruction, it has preserved an impressive complex of Gothic, Renaissance, Baroque and classical buildings as well as its medieval layout and natural setting. ",4.8,94,1
Moroni,Comoros,City Trip Nature Landscape,Winding streets lined with colorful markets and the aroma of spices create a lively yet laid-back atmosphere by the Indian Ocean.,4.5,61,1
Bahla Fort,Oman,Cultural Arab States Historic Landmark World Heritage," The oasis of Bahla owes its prosperity to the Banu Nebhan, the dominant tribe in the area from the 12th to the end of the 15th century. The ruins of the immense fort, with its walls and towers of unbaked brick and its stone foundations, is a remarkable example of this type of fortification and attests to the power of the Banu Nebhan. ",4.9,77,3
Bern,Switzerland,City Trip Nature Landscape Culture History Art,"Charming cobblestone streets wind through medieval architecture, while the gentle flow of the river creates a serene backdrop for leisurely exploration.",4.5,66,5
Fort and Shalamar Gardens in Lahore,Pakistan,Cultural Asia and the Pacific Historic Landmark World Heritage," These are two masterpieces from the time of the brilliant Mughal civilization, which reached its height during the reign of the Emperor Shah Jahan. The fort contains marble palaces and mosques decorated with mosaics and gilt. The elegance of these splendid gardens, built near the city of Lahore on three terraces with lodges, waterfalls and large ornamental ponds, is unequalled. ",4.6,72,3
Archaeological Site of Leptis Magna,Libya,Cultural Arab States Historic Landmark World Heritage," Leptis Magna was enlarged and embellished by Septimius Severus, who was born there and later became emperor. It was one of the most beautiful cities of the Roman Empire, with its imposing public monuments, harbour, market-place, storehouses, shops and residential districts. ",4.5,60,1
Sian Ka'an,Mexico,Natural Latin America and the Caribbean Historic Landmark World Heritage," In the language of the Mayan peoples who once inhabited this region, Sian Ka'an means 'Origin of the Sky'. Located on the east coast of the Yucat&aacute;n peninsula, this biosphere reserve contains tropical forests, mangroves and marshes, as well as a large marine section intersected by a barrier reef. It provides a habitat for a remarkably rich flora and a fauna comprising more than 300 species of birds, as well as a large number of the region's characteristic terrestrial vertebrates, which cohabit in the diverse environment formed by its complex hydrological system. ",4.8,51,3
Monte San Giorgio,"Italy,Switzerland",Natural Europe and North America Historic Landmark World Heritage," The pyramid-shaped, wooded mountain of Monte San Giorgio beside Lake Lugano is regarded as the best fossil record of marine life from the Triassic Period (245–230 million years ago). The sequence records life in a tropical lagoon environment, sheltered and partially separated from the open sea by an offshore reef. Diverse marine life flourished within this lagoon, including reptiles, fish, bivalves, ammonites, echinoderms and crustaceans. Because the lagoon was near land, the remains also include land-based fossils of reptiles, insects and plants, resulting in an extremely rich source of fossils. ",4.7,59,2
Old Towns of Djenné,Mali,Cultural Africa Historic Landmark World Heritage," Inhabited since 250 B.C., Djenné became a market centre and an important link in the trans-Saharan gold trade. In the 15th and 16th centuries, it was one of the centres for the propagation of Islam. Its traditional houses, of which nearly 2,000 have survived, are built on hillocks (toguere) as protection from the seasonal floods. ",5.0,61,2
Area de Conservación Guanacaste,Costa Rica,Natural Latin America and the Caribbean Historic Landmark World Heritage," The Area de Conservación Guanacaste (inscribed in 1999), was extended with the addition of a 15,000 ha private property, St Elena. It contains important natural habitats for the conservation of biological diversity, including the best dry forest habitats from Central America to northern Mexico and key habitats for endangered or rare plant and animal species. The site demonstrates significant ecological processes in both its terrestrial and marine-coastal environments. ",4.7,54,2
Maloti-Drakensberg Park,"Lesotho,South Africa",Mixed Africa Historic Landmark World Heritage," The Maloti-Drakensberg Park is a transboundary site composed of the uKhahlamba Drakensberg National Park in South Africa and the Sehlathebe National Park in Lesotho. The site has exceptional natural beauty in its soaring basaltic buttresses, incisive dramatic cutbacks, and golden sandstone ramparts as well as visually spectacular sculptured arches, caves, cliffs, pillars and rock pools. The site's diversity of habitats protects a high level of endemic and globally important plants. The site harbors endangered species such as the Cape vulture (Gyps coprotheres) and the bearded vulture (Gypaetus barbatus). Lesotho’s Sehlabathebe National Park also harbors the Maloti minnow (Pseudobarbus quathlambae), a critically endangered fish species only found in this park. This spectacular natural site contains many caves and rock-shelters with the largest and most concentrated group of paintings in Africa south of the Sahara. They represent the spiritual life of the San people, who lived in this area over a period of 4,000 years. ",4.7,78,2
"Rock-Hewn Churches, Lalibela",Ethiopia,Cultural Africa Historic Landmark World Heritage," The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion. ",4.5,91,3
"Champagne Hillsides, Houses and Cellars",France,Cultural Europe and North America Historic Landmark World Heritage," The property encompasses sites where the method of producing sparkling wines was developed on the principle of secondary fermentation in the bottle since the early 17th century to its early industrialization in the 19th century. The property is made up of three distinct ensembles: the historic vineyards of Hautvillers, Aÿ and Mareuil-sur-Aÿ, Saint-Nicaise Hill in Reims, and the Avenue de Champagne and Fort Chabrol in Epernay. These three components – the supply basin formed by the historic hillsides, the production sites (with their underground cellars) and the sales and distribution centres (the Champagne Houses) - illustrate the entire champagne production process. The property bears clear testimony to the development of a very specialized artisan activity that has become an agro-industrial enterprise. ",4.8,79,3
Colonial City of Santo Domingo,Dominican Republic,Cultural Latin America and the Caribbean Historic Landmark World Heritage," After Christopher Columbus's arrival on the island in 1492, Santo Domingo became the site of the first cathedral, hospital, customs house and university in the Americas. This colonial town, founded in 1498, was laid out on a grid pattern that became the model for almost all town planners in the New World. ",4.7,66,1
Castries,Saint Lucia,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Colorful markets, ocean breezes, and lively street music create a vibrant atmosphere, inviting you to explore and unwind at your own pace.",3.7,97,3
Island of Mozambique,Mozambique,Cultural Africa Historic Landmark World Heritage," The fortified city of Mozambique is located on this island, a former Portuguese trading-post on the route to India. Its remarkable architectural unity is due to the consistent use, since the 16th century, of the same building techniques, building materials (stone or macuti) and decorative principles. ",5.0,65,1
Minaret and Archaeological Remains of Jam,Afghanistan,Cultural Asia and the Pacific Historic Landmark World Heritage," The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province. ",4.6,78,1
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",France,Natural Europe and North America Historic Landmark World Heritage," The nature reserve, which is part of the Regional Natural Park of Corsica, occupies the Scandola peninsula, an impressive, porphyritic rock mass. The vegetation is an outstanding example of scrubland. Seagulls, cormorants and sea eagles can be found there. The clear waters, with their islets and inaccessible caves, host a rich marine life. ",5.0,62,3
Goa,India,City Trip Culture History Art Adventure Hiking Beach Sea Tropical Nightlife Party,"Golden beaches stretch endlessly alongside vibrant markets and aromatic spice-scented air, offering a perfect blend of relaxation and lively culture.",3.7,74,3
St Ives,United Kingdom,City Trip Nature Landscape Culture History Art Beach Sea Tropical,"Charming cobblestone streets wind through art galleries and quaint shops, with the salty sea breeze adding a refreshing touch to your stroll.",3.9,77,3
